x	HFPV	CMV
5,94	300,29	296,75
12,134	331,49	282,24
18,013	307,75	262,98
23,892	286,05	211,05
29,982	303	177,53
36,071	280,62	187,97
42,265	294,86	152,75
48,144	328,1	163,01
54,129	315,89	218,45
60,008	280,62	205,1
66,097	347,09	204,65
71,976	311,14	203,97
78,066	308,43	302,29
83,945	286,72	321,08
89,929	262,98	289,18
96,018	263,66	272,03
102,108	270,45	241,39
108,092	233,14	240,58
113,971	265,7	233,82
120,06	275,19	223,64
