x	HFPV	LTV
-1,0259	334,617	318,046
-0,017	368,054	259,264
1,0053	328,258	226,435
2,0019	304,445	214,884
3,0053	284,4		212,642
3,9995	286,343	224,961
4,9968	295,634	218,292
5,991		269,814	247,844
7				267,631	253,655
